"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jul 06 14:06:30 GMT 2023","Thu Jul 06 14:06:30 GMT 2023","20","Spotify App Test Regression Suite","Home Page Test_chrome","org.sel.spotify.tests.UI.HomePageTests","org.sel.spotify.tests.UI.HomePageTests","gotoSearchSection","gotoSearchSection",""
"broken","Thu Jun 22 11:00:23 GMT 2023","Thu Jun 22 11:00:23 GMT 2023","2","Default Suite","spotifyTests","org.sel.spotify.tests.HomePageTests","org.sel.spotify.tests.HomePageTests","setup","setup",""
"passed","Thu Jul 06 12:33:10 GMT 2023","Thu Jul 06 12:33:10 GMT 2023","72","Opencart App Test Regression Suite","Home Page Test_chrome","org.sel.spotify.tests.UI.HomePageTests","org.sel.spotify.tests.UI.HomePageTests","homePageTitleTest","homePageTitleTest","checking home page title test..."
"passed","Fri Jun 09 08:12:54 GMT 2023","Fri Jun 09 08:12:54 GMT 2023","162","Default Suite","spotifyTests","org.sel.spotify.tests.HomePageTests","org.sel.spotify.tests.HomePageTests","gotoSeachSection","gotoSeachSection",""
"passed","Thu Jul 06 12:32:59 GMT 2023","Thu Jul 06 12:32:59 GMT 2023","185","Opencart App Test Regression Suite","Home Page Test_chrome","org.sel.spotify.tests.UI.HomePageTests","org.sel.spotify.tests.UI.HomePageTests","gotoSearchSection","gotoSearchSection",""
"broken","Fri Jun 23 10:13:00 GMT 2023","Fri Jun 23 10:13:00 GMT 2023","3","Default Suite","spotifyTests","org.sel.spotify.tests.UI.CucumberUITestRunner","org.sel.spotify.tests.UI.CucumberUITestRunner","setUpClass","setUpClass",""
"broken","Thu Jun 22 13:50:29 GMT 2023","Thu Jun 22 13:50:29 GMT 2023","3","Default Suite","spotifyTests","org.sel.spotify.tests.API.basicAPITest","org.sel.spotify.tests.API.basicAPITest","setupAPI","setupAPI",""
"skipped","Thu Jun 22 11:19:25 GMT 2023","Thu Jun 22 11:19:25 GMT 2023","0","Default Suite","spotifyTests","org.sel.spotify.tests.HomePageTests","org.sel.spotify.tests.HomePageTests","gotoSearchSection","gotoSearchSection",""
"passed","Thu Jul 06 12:30:43 GMT 2023","Thu Jul 06 12:30:43 GMT 2023","51","Default Suite","spotifyTests","org.sel.spotify.tests.UI.HomePageTests","org.sel.spotify.tests.UI.HomePageTests","homePageTitleTest","homePageTitleTest","checking home page title test..."
"passed","Thu Jul 06 12:33:24 GMT 2023","Thu Jul 06 12:33:24 GMT 2023","217","Opencart App Test Regression Suite","Home Page Test_chrome","org.sel.spotify.tests.UI.HomePageTests","org.sel.spotify.tests.UI.HomePageTests","getHeadingsTests","getHeadingsTests",""
"skipped","Thu Jul 06 14:06:30 GMT 2023","Thu Jul 06 14:06:30 GMT 2023","3","Spotify App Test Regression Suite","Home Page Test_chrome","org.sel.spotify.tests.UI.HomePageTests","org.sel.spotify.tests.UI.HomePageTests","getHeadingsTests","getHeadingsTests",""
"broken","Thu Jun 22 11:19:15 GMT 2023","Thu Jun 22 11:19:15 GMT 2023","3","Default Suite","spotifyTests","org.sel.spotify.tests.HomePageTests","org.sel.spotify.tests.HomePageTests","setup","setup",""
"skipped","Thu Jul 06 14:06:30 GMT 2023","Thu Jul 06 14:06:30 GMT 2023","7","Spotify App Test Regression Suite","Home Page Test_chrome","org.sel.spotify.tests.UI.HomePageTests","org.sel.spotify.tests.UI.HomePageTests","homePageTitleTest","homePageTitleTest","checking home page title test..."
"passed","Thu Jun 22 14:01:28 GMT 2023","Thu Jun 22 14:01:28 GMT 2023","577","Default Suite","spotifyTests","org.sel.spotify.tests.API.basicAPITest","org.sel.spotify.tests.API.basicAPITest","searchSongsFromSameArtist","searchSongsFromSameArtist",""
"broken","Thu Jul 06 14:06:30 GMT 2023","Thu Jul 06 14:06:30 GMT 2023","1","Spotify App Test Regression Suite","Home Page Test_chrome","org.sel.spotify.tests.UI.HomePageTests","org.sel.spotify.tests.UI.HomePageTests","setup","setup",""
"passed","Thu Jun 22 14:01:22 GMT 2023","Thu Jun 22 14:01:23 GMT 2023","954","Default Suite","spotifyTests","org.sel.spotify.tests.API.basicAPITest","org.sel.spotify.tests.API.basicAPITest","testGetTrack","testGetTrack",""
"broken","Fri Jun 23 15:22:53 GMT 2023","Fri Jun 23 15:23:07 GMT 2023","13682","Default Suite","spotifyTests","org.sel.spotify.tests.UI.CucumberUITestRunner","org.sel.spotify.tests.UI.CucumberUITestRunner","runScenario","Runs Cucumber Scenarios",""
"skipped","Thu Jun 22 11:19:30 GMT 2023","Thu Jun 22 11:19:30 GMT 2023","0","Default Suite","spotifyTests","org.sel.spotify.tests.HomePageTests","org.sel.spotify.tests.HomePageTests","homePageTitleTest","homePageTitleTest","checking home page title test..."
"skipped","Thu Jun 22 11:19:20 GMT 2023","Thu Jun 22 11:19:20 GMT 2023","1","Default Suite","spotifyTests","org.sel.spotify.tests.HomePageTests","org.sel.spotify.tests.HomePageTests","getHeadingsTests","getHeadingsTests",""
"broken","Fri Jun 09 05:41:30 GMT 2023","Fri Jun 09 05:41:30 GMT 2023","5","Default Suite","spotifyTests","org.sel.spotify.tests.HomePageTests","org.sel.spotify.tests.HomePageTests","setup","setup",""
"passed","Fri Jun 23 08:47:32 GMT 2023","Fri Jun 23 08:47:32 GMT 2023","459","Default Suite","spotifyTests","org.sel.spotify.tests.API.BasicTestNgAPITests","org.sel.spotify.tests.API.BasicTestNgAPITests","testGetTrack","testGetTrack",""
"failed","Thu Jun 22 12:46:20 GMT 2023","Thu Jun 22 12:46:20 GMT 2023","3","Default Suite","spotifyTests","org.sel.spotify.tests.API.basicAPITest","org.sel.spotify.tests.API.basicAPITest","setupAPI","setupAPI",""
